Order ID	Job ID	Job Name	Job Description	Imprints
14309	872	White Hoodies	Red and blue digital print across front chest.	Direct To Garment,Front
14316	875	1st B Day Zebra	Digital print on front chest of onesie.	Direct To Garment,Front
14358	877	So Fly Like D Criss	One Medium white shirt with digital print on front.	Direct To Garment,Front
14377	886	Hair	White Shirt with digital print on front.	Direct To Garment,Front
14377	887	Black is Beautiful	White shirt with digital print on front.	Direct To Garment,Front
14536	920	Box for Brian	Ash tees and hoodies. Digital print on front and back.	Direct To Garment,Front,Back
14536	919	Box for Chris	Ash tees and hoodies. Digital print on front and back. Hoodie for Matt.	Direct To Garment,Front,Back
14536	921	Box for Cesar	Ash tees and hoodies. Digital print on front and back.	Direct To Garment,Front,Back
14536	922	Box for David	"Ash tees and hoodies. Digital print on front and back. 

2 Polos with ""David Landau, Owner"" on front."	Direct To Garment,Front,Back
14536	923	Boxed for DeEtta	Ash tees and hoodies. Digital print on front and back.	Direct To Garment,Front,Back
14621	925	In Memory of Darius	White shirts with digital print on front and back.	Direct To Garment,Front,Back
14659	926	Tridelt Senior Triblend V-necks	2-Color Front, 1-Color Back	Screen Print,2-C,Front	Screen Print,1-C,Back
14659	927	Tridelt Senior Triblend V-necks (No Back)	2-Color Front	Screen Print,2-C,Front
14665	930	Matan Embroidery: Top Mast Receivers	Digital print on front of natural shirts.	Embroidery
14675	932	Zambia's Scholarship Fund	White shirts with full color digital print on front and back + our logo.	Direct To Garment,Front,Back
14691	937	Sunseed Farm	53 shirts with DTG print on front chest.	Direct To Garment,Front
14704	941	MBLGTACC, part II	Four color print on front, 1 color print on back. Exact re-print of earlier order.	Screen Print,4-C,Front	Screen Print,1-C,Back
14713	944	Cricket World Cup	Light Blue Gildan t-shirt with digital print on front and back.	Direct To Garment,Front,Back
14716	946	Where the Wild Things Are	White American Apparel crew neck and v-neck t-shirts with digital print.	Direct To Garment,Front
14725	947	Quest Japan Follow Up	1-CF/1-CB	Screen Print,1-C,Front	Screen Print,1-C,Back
14743	948	3SCustoms April 2011	6DTG Front Tees	Direct To Garment,Front
14746	951	Urban Employ	Full color digital print on left chest of ash gray polo. 2XL	Direct To Garment,Front
14901	962	Triangle Relay for Life	78 Black T-shirts, 2-Color Front	Screen Print,2-C,Front
14959	978	Digital Prints for D. Lorence, II	Seven White XL t-shirts with digital print on front left chest.	Direct To Garment,Front
14963	979	Katie's Radical Starkid Uberfan Tee	Sky Gildan shirt with digital print on front, back, and sleeves.	Direct To Garment,Front
14970	980	The Establishment	White shirts with a digital print on front and back.	Direct To Garment,Front,Back
14996	983	Irish Lacrosse	Digital print on front of three shirts for infant + toddlers.	Direct To Garment,Front
15005	986	Michigan Variety Hoodies 2011 FOLLOW UP	Red Hoody with one color print on back.	Screen Print,1-C,Back
15059	996	Embroidered Quarter Zips	Jerzees Quarter Zip Fleece. Navy with gray/silver thread on left chest.	Embroidery
15102	1004	Annie Yoo's Michigan Tee	Digital print. Navy with gold trim.	Direct To Garment,Front
15118	1012	Tranquil Being	Black organic polos with light blue thread on left chest	Embroidery
15244	1019	Pitch Slap T-shirts	Digital print on front and back of ice gray shirts.	Direct To Garment,Front,Back
15264	1024	MEAN, Inc.	White tees with black digital print on front, back, and left sleeve.	Direct To Garment,Front
15266	1025	Courtney's Custom Tee	Digital print on white XL shirt with print on front, back, and sleeves.	Direct To Garment,Front
15290	1028	Matan Embroidery: UM Naval	Navy Gildan 2000 shirts with maize ink on front and back.	Embroidery
15325	1034	Gunday T-shirt	Three color print on front of one shirt. Screen print. White, black, maroon ink.	Screen Print,3-C,Front
15335	1035	Stoneberg Hoodies	White pullover hoodies with digital print on front and back.	Direct To Garment,Front,Back
15344	1037	Steph Bar Crawl	Blue ink on front, digital. Art already adjusted with color values in photoshop file.	Direct To Garment,Front
15395	1044	Ecuador Shirt	Daisy Gildan shirts with a digital print on front and back.	Direct To Garment,Front,Back
15428	1046	It is What It is.	Raspberry American Apparel 2001 t-shirts with three color print on front. White, Carolina Blue, and black ink on front chest.	Screen Print,3-C,Front
15435	1048	Anvil Polos, Digital Print.	Digital print on front and back.	Direct To Garment,Front,Back
15435	1049	Flex Fit Hats	Embroidery on front of six flex fit hats.	Embroidery
15436	1050	Custom Tote and Starkid Top	Custom digital print on tote + large 2102 red Keep Calm top.	Direct To Garment,Front
15442	1051	Sample Shirt	Digital print on front and back.	Direct To Garment,Front,Back
15612	1063	Could You Do Me a Favor?	Digital print on front and soft-hand screen print on back.	Direct To Garment,Front,Back
15616	1064	Three Dog Nursery	Various shirts with digital print on front left chest.	Direct To Garment,Front
15636	1065	1 Hockey Shirt	Black DTG print on front of blank shirt.	Direct To Garment,Front
15602	1075	Embroidered Trucker Hat	Embroidery on front of trucker hat	Embroidery
15683	1082	Mocha Mountain T-shirts	Full color digital print on front and back of white T-shirts	Direct To Garment,Front,Back
